"ano";"cod_mun";"prop_evangelico"
"1";2004;110001;24.764
"2";2004;110002;29.974
"3";2004;110003;27.426
"4";2004;110004;35.866
"5";2004;110005;30.664
"6";2004;110006;26.318
"7";2004;110007;23.728
"8";2004;110008;25.226
"9";2004;110009;39.488
"10";2004;110010;23.418
"11";2004;110011;35.132
"12";2004;110012;33.78
"13";2004;110013;29.588
"14";2004;110014;34.912
"15";2004;110015;32.734
"16";2004;110018;29.168
"17";2004;110020;26.124
"18";2004;110025;29.192
"19";2004;110026;26.636
"20";2004;110028;31.076
"21";2004;110029;27.504
"22";2004;110030;28.102
"23";2004;110032;31.73
"24";2004;110033;26.208
"25";2004;110034;30.776
"26";2004;110037;32.096
"27";2004;110040;27.144
"28";2004;110045;37.394
"29";2004;110050;31.238
"30";2004;110060;23.156
"31";2004;110070;34.734
"32";2004;110080;26.362
"33";2004;110090;26.112
"34";2004;110092;20.268
"35";2004;110094;28.696
"36";2004;110100;28.078
"37";2004;110110;32.82
"38";2004;110120;33.738
"39";2004;110130;33.44
"40";2004;110140;29.5
"41";2004;110143;28.52
"42";2004;110145;21.948
"43";2004;110146;21.254
"44";2004;110147;23.226
"45";2004;110148;28.922
"46";2004;110149;33.762
"47";2004;110150;33.798
"48";2004;110155;21.718
"49";2004;110160;31.036
"50";2004;110170;34.528
"51";2004;110175;35.686
"52";2004;110180;30.46
"53";2004;120001;34.446
"54";2004;120005;25.316
"55";2004;120010;20.78
"56";2004;120013;24.438
"57";2004;120017;27.098
"58";2004;120020;22.272
"59";2004;120025;23.07
"60";2004;120030;19.86
"61";2004;120032;6.904
"62";2004;120033;20.72
"63";2004;120034;20.32
"64";2004;120035;12.906
"65";2004;120038;27.29
"66";2004;120039;8.85
"67";2004;120040;29.87
"68";2004;120042;27.378
"69";2004;120043;14.65
"70";2004;120045;27.466
"71";2004;120050;21.644
"72";2004;120060;13.466
"73";2004;120070;16.884
"74";2004;120080;27.282
"75";2004;130002;21.632
"76";2004;130006;24.634
"77";2004;130008;25.612
"78";2004;130010;24.834
"79";2004;130014;27.85
"80";2004;130020;10.612
"81";2004;130030;27.162
"82";2004;130040;15.074
"83";2004;130050;16.032
"84";2004;130060;24.196
"85";2004;130063;30.208
"86";2004;130068;16.374
"87";2004;130070;23.598
"88";2004;130080;16.006
"89";2004;130083;27.178
"90";2004;130090;16.24
"91";2004;130100;18.066
"92";2004;130110;30.478
"93";2004;130115;21.814
"94";2004;130120;23.662
"95";2004;130130;24.514
"96";2004;130140;17.36
"97";2004;130150;17.518
"98";2004;130160;23.076
"99";2004;130165;15.052
"100";2004;130170;12.912
"101";2004;130180;7.944
"102";2004;130185;24.878
"103";2004;130190;24.714
"104";2004;130195;15.186
"105";2004;130200;24.462
"106";2004;130210;39.862
"107";2004;130220;22.052
"108";2004;130230;24.58
"109";2004;130240;14.174
"110";2004;130250;30.17
"111";2004;130255;26.03
"112";2004;130260;27.532
"113";2004;130270;14.118
"114";2004;130280;32.39
"115";2004;130290;18.942
"116";2004;130300;13.032
"117";2004;130310;21.608
"118";2004;130320;25.34
"119";2004;130330;14.77
"120";2004;130340;14.364
"121";2004;130350;18.762
"122";2004;130353;27.282
"123";2004;130356;27.634
"124";2004;130360;9.038
"125";2004;130370;38.948
"126";2004;130380;21.766
"127";2004;130390;42.584
"128";2004;130395;32.984
"129";2004;130400;17.752
"130";2004;130406;23.89
"131";2004;130410;43.436
"132";2004;130420;27.6
"133";2004;130423;20
"134";2004;130426;28.854
"135";2004;130430;17.58
"136";2004;130440;18.726
"137";2004;140002;20.026
"138";2004;140005;14.122
"139";2004;140010;26.746
"140";2004;140015;21.964
"141";2004;140017;25.676
"142";2004;140020;28.214
"143";2004;140023;40.826
"144";2004;140028;19.686
"145";2004;140030;18.996
"146";2004;140040;19.638
"147";2004;140045;34.354
"148";2004;140047;25.802
"149";2004;140050;27.658
"150";2004;140060;28.394
"151";2004;140070;15.2
"152";2004;150010;17.028
"153";2004;150013;19.894
"154";2004;150020;27.194
"155";2004;150030;15.706
"156";2004;150034;24.544
"157";2004;150040;15.608
"158";2004;150050;21.416
"159";2004;150060;21.936
